period,respondent,respondent-name,type,type-name
2026-06-01T06,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T06,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T06,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-06-01T05,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-01T05,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T05,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T05,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-06-01T04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-01T04,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T04,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T04,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-06-01T03,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-01T03,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T03,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T03,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-06-01T02,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-01T02,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T02,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T02,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-06-01T01,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-01T01,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T01,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T01,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-06-01T00,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-01T00,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-01T00,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-01T00,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T23,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T23,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T23,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T23,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T22,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T22,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T22,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T22,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T21,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T21,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-05-31T21,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-05-31T21,SOCO,"Southern Company Services, Inc. - Trans",TI,Total interchange
2026-05-31T20,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-05-31T20,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
